startTime(s),AoINumber,AoIBCEA,AoIBCEADisp,AoILempelZiv
0.0,16,7216.2472558716945,6998.7370562685155,36
0.5,17,6413.184525301632,6201.094405077188,37
1.0,17,5968.333168671577,5756.243048447133,37
1.5,18,5890.695460356768,5660.89221255777,38
2.0,16,7993.922413260658,7382.926104443688,37
2.5,15,9872.51994579032,9094.589832632877,37
3.0,14,8476.07462879805,7585.131963472761,35
3.5,15,6053.850118186174,4821.308444403843,37
4.0,16,5376.572521850559,4619.843902723804,37
4.5,15,6828.874619946638,4522.035738855164,38
5.0,15,7200.515045881866,4150.395312919935,38
5.5,14,7465.753693266675,4115.683327120858,38
6.0,14,7462.13161814436,4112.061251998542,37
6.5,14,6943.713209367421,3619.0937732952707,38
7.0,13,8545.097343444575,4398.884261030708,36
7.5,13,10077.505848119135,5947.28429869146,36
8.0,14,9531.097296971564,5899.284375353469,37
8.5,14,9636.291529484999,6019.995943815607,36
9.0,13,11223.319344522826,6645.487957371619,36
9.5,12,12890.181231533885,7743.270462569057,35
10.0,13,12264.413299798192,9197.570099235088,36
10.5,13,12554.458048181588,9487.614847618483,35
11.0,12,14631.109374591242,9555.947239924912,35
11.5,12,16417.307593278692,9301.738916599372,35
12.0,13,16231.153140099857,10126.27088770788,35
12.5,14,14053.7565395251,10965.371900306503,36
13.0,13,14972.958766861759,10719.827876907562,35
13.5,13,12663.441950914686,9261.346655805346,34
14.0,14,9841.881988985331,7634.672397247964,36
14.5,13,11352.569031328165,8301.724647136576,36
15.0,14,10419.664180795253,7784.057313388565,37
15.5,15,12044.302758667407,10022.112956285726,38
16.0,15,12022.08511119045,9239.707892135542,38
16.5,14,12802.461234123564,9374.635719337011,38
17.0,14,12418.133809533125,9112.64007186797,38
17.5,14,12150.965304999514,10234.740763586524,35
18.0,15,11396.646870722345,9642.267679972998,37
18.5,14,13732.440097747358,11226.404951109016,36
19.0,13,15460.916498125725,12658.503010037715,35
19.5,13,13634.547141574083,11312.546805880233,36
20.0,13,14187.619652842734,11910.017819289276,36
20.5,14,12503.236829390988,10280.361467924016,36
21.0,15,10261.903992322972,8067.961339223621,35
21.5,15,10673.227188098883,8733.696347082276,36
22.0,15,9982.90303925722,8043.372198240615,36
22.5,16,6670.736369056545,5614.392059924308,35
23.0,17,5344.7005783535105,4539.021196619034,37
23.5,16,6664.839381840207,5265.284706246174,37
24.0,14,9720.869352684353,7323.489114603539,36
24.5,15,8479.885498454694,6033.3778214565855,37
