startTime(s),SpLength,SpBCEA,SpConvexHull,SpFractalDimension,SpRQARecRate,SpRQADet,SpRQALam
0.0,14557.859796142706,330119.59692090884,420955.6515859862,1.9228615618780127,3.6438923395445135,10.795454545454547,12.500000000000002
0.5,14357.555154969567,339140.6706622228,421668.0575618782,1.916308900579297,3.7681159420289854,14.285714285714286,12.08791208791209
1.0,14415.027172002869,341213.4446959507,421668.0575618782,1.914064414793779,3.7022132796780682,14.130434782608695,15.217391304347824
1.5,13805.022940921212,348506.3305543897,421668.0575618782,1.921709771401989,3.8630377524143986,14.772727272727273,15.90909090909091
2.0,14236.429528378329,341827.0654748101,421668.0575618782,1.9245234379306462,3.7267080745341614,14.444444444444445,15.555555555555557
2.5,13900.235079724886,339865.327233638,421668.0575618782,1.9163512891144043,3.6024844720496896,14.942528735632184,16.091954022988503
3.0,13459.213276359631,340407.71549496317,421668.0575618782,1.9048874204585629,3.5379369138959933,15.66265060240964,16.867469879518072
3.5,12983.62541409668,341976.7918460006,421668.0575618782,1.9029525691244658,3.5996488147497807,15.853658536585366,17.073170731707318
4.0,13096.959350172525,342972.23248990637,421668.0575618782,1.8843950526783384,3.580562659846547,15.476190476190476,16.666666666666668
4.5,13431.274472805228,346241.27101388905,421668.0575618782,1.9064807181749643,3.6231884057971016,15.294117647058824,16.47058823529412
5.0,13134.271171375874,370655.06633017975,432881.91053908603,1.8962999160385177,3.775241439859526,15.116279069767442,16.27906976744186
5.5,12971.45473812091,370998.4535119136,433422.6873728196,1.926302762090931,3.7296037296037294,16.25,12.5
6.0,12994.591918106338,375274.4814302254,441629.79731146846,1.9227043222806197,3.5730438715513344,16.455696202531648,12.658227848101266
6.5,12533.238976241357,380494.1985909515,443878.19341419823,1.9106432260708688,3.605769230769231,17.333333333333332,13.333333333333332
7.0,12902.5875077603,386246.1460502947,450570.4061831446,1.9528410028200835,3.6706349206349205,17.56756756756757,13.513513513513512
7.5,12802.98524233773,382660.3400834084,450570.4061831446,1.9570036545120817,3.686635944700461,18.055555555555554,13.88888888888889
8.0,12849.033599236007,390379.4005729122,450570.4061831446,1.982490147238619,3.6488630354309888,18.840579710144926,14.492753623188406
8.5,13019.422298175012,393429.1035773648,450570.4061831446,1.9779757431377718,3.966155473294553,21.333333333333332,13.333333333333332
9.0,13109.24909392204,398975.23550892517,450570.4061831446,1.9767532400493462,4.0719196192490745,20.77922077922078,12.987012987012987
9.5,13016.640102181958,394290.50152453105,450570.4061831446,1.9681207083068728,4.262295081967213,20.512820512820515,12.820512820512821
10.0,12564.931355281105,388648.56790576066,448015.36315503117,1.929848620785518,4.316939890710382,20.253164556962027,12.658227848101266
10.5,12552.151989023705,384046.1929738261,448015.36315503117,1.920380685947604,4.2076502732240435,20.77922077922078,12.987012987012987
11.0,12150.557004323768,372965.43584684713,448015.36315503117,1.8915643874215513,4.293785310734464,21.05263157894737,13.157894736842106
11.5,11835.372794275103,355333.1440537603,390840.79151042784,1.887663754487568,4.293785310734464,21.05263157894737,13.157894736842106
12.0,12156.90600955659,337352.7692805825,382764.85477705393,1.9054157837060175,4.383401519579193,21.333333333333332,13.333333333333332
12.5,11705.479075277028,337155.5825918454,380755.43846758455,1.9218818362970858,4.3557168784029034,22.22222222222222,13.88888888888889
13.0,11889.607651894119,336820.8078480548,403578.89151137427,1.9376527111588913,4.237288135593221,21.333333333333332,13.333333333333332
13.5,11827.739035802459,357696.3242283794,411779.16899923165,1.9028661788230314,4.2076502732240435,20.77922077922078,12.987012987012987
14.0,11807.70367104892,354029.38066595513,411779.16899923165,1.9240443293080995,4.124293785310734,21.91780821917808,13.698630136986301
14.5,11823.443138432483,356014.10211708595,412454.4800833949,1.9355062040776714,4.293785310734464,21.05263157894737,13.157894736842106
15.0,11643.03907008037,350690.0198430664,406059.185123034,1.9522043545199086,4.441846873173582,21.05263157894737,11.842105263157896
15.5,11649.361290801497,344874.7889148823,406059.185123034,1.9433535814373166,4.266510812390415,17.123287671232877,12.32876712328767
16.0,11147.539694413306,339991.0642632772,406059.185123034,1.917287787255014,4.4162129461585,23.28767123287671,16.43835616438356
16.5,11263.58276833309,337853.6613669464,406059.185123034,1.898213451899277,4.441846873173582,22.368421052631582,15.789473684210527
17.0,11275.797300594086,334465.25579473405,406059.185123034,1.8953737069024208,4.032729398012858,19.565217391304348,13.043478260869565
17.5,11311.280949379974,336330.52620661043,407564.7372091453,1.8916567002364153,3.798947983635301,18.461538461538463,13.846153846153847
18.0,11272.437470752477,325835.10817319155,407564.7372091453,1.8933390443793603,4.032729398012858,17.391304347826086,13.043478260869565
18.5,11543.283954624056,309397.19950363715,407564.7372091453,1.9067177087742988,4.11373260738052,17.647058823529413,13.23529411764706
19.0,11117.934589622535,278590.49913038814,363858.79110554064,1.8910287578671483,4.260651629072682,17.647058823529413,13.23529411764706
19.5,11158.02110013572,276523.70757497457,361355.9218101839,1.8852891514279189,4.260651629072682,17.647058823529413,13.23529411764706
20.0,11376.676436029744,282106.07771287486,367654.6521821517,1.8825325513629418,4.197994987468672,17.910447761194032,8.955223880597016
20.5,11627.869140793153,298592.8789850532,372582.0661895685,1.8725458820617404,3.9927404718693285,18.18181818181818,9.09090909090909
21.0,11324.488208698906,304956.8138148943,377541.80962743296,1.8719683630490451,3.9927404718693285,18.18181818181818,9.09090909090909
21.5,11352.701065816444,323388.9546448377,403307.1313837288,1.891785002294733,3.9322444041137325,18.461538461538463,9.230769230769232
22.0,11217.811967185371,320557.22329744895,403307.1313837288,1.9071178618255862,4.010025062656641,18.75,9.375
22.5,11448.27724902112,331287.90233719524,416543.35259449575,1.917559113305946,3.8112522686025407,19.047619047619047,9.523809523809524
23.0,11133.976812003863,348155.0001604156,440805.8400948751,1.9179322899842721,3.6236119228521333,19.354838709677416,9.677419354838708
23.5,11476.638963883386,353896.92109380866,440805.8400948751,1.9232859520612289,3.785310734463277,17.910447761194032,8.955223880597016
24.0,11089.835000147292,354946.07317470486,440805.8400948751,1.9195723785025764,3.84180790960452,17.647058823529413,8.823529411764707
24.5,10953.18927235373,348993.86474008934,440805.8400948751,1.9314284499693262,3.974284044418469,17.647058823529413,8.823529411764707
