startTime(s),AoINumber,AoIBCEA,AoIBCEADisp,AoILempelZiv
0.0,13,4165.904219725071,2700.1010416424474,39
0.5,12,6312.3068837468845,2120.5368211524224,39
1.0,13,6094.798038675452,2288.2924486529005,41
1.5,14,4765.197716000171,3124.8838780604456,41
2.0,14,5813.390127543389,3945.386994696431,41
2.5,14,6281.805080226443,4328.926589057153,40
3.0,14,6366.449235019719,4244.282434263879,40
3.5,15,4686.206860158014,3058.0274268051407,41
4.0,12,6381.6877858048765,2272.105469047077,40
4.5,13,6056.319424791117,2346.0590024036933,41
5.0,13,5613.320315925817,2560.175705895779,41
5.5,12,5885.391875375163,2357.172366282706,40
6.0,11,7450.956522442794,2847.071770818958,40
6.5,12,5623.2805362351655,3588.8113843671804,42
7.0,11,6683.5048476436605,2863.0072876188274,41
7.5,11,7097.156395126966,3221.3187968446077,41
8.0,12,6103.997082716381,3732.5842613313675,42
8.5,12,5787.815999049144,3416.403177664132,41
9.0,10,7045.507903178262,3296.55095669016,40
9.5,10,7177.617234079245,3575.1103092482867,40
10.0,10,6736.504732463911,3603.019207419586,41
10.5,10,7143.592984003643,3825.407128206174,39
11.0,9,8752.454900442954,5192.682226130207,36
11.5,10,7346.841653679921,5115.170280259421,37
12.0,9,11160.143442940378,8112.95194218147,38
12.5,9,10122.45130305899,6579.413761342061,38
13.0,8,8457.790018381911,3926.7711391040093,37
13.5,8,7447.15269965359,2981.0996557435146,39
14.0,8,5358.37496169841,1034.1123467381722,38
14.5,8,5498.19949251619,1225.010952066723,39
15.0,8,5465.6034460893825,1176.8124143351397,39
15.5,9,4475.307951163245,1165.7912028388614,40
16.0,8,5144.832026161689,1559.9276256350854,38
16.5,7,6182.9938357068,1690.3274091017229,37
17.0,6,7169.123087247252,2887.119142799682,36
17.5,7,6077.57351428339,1469.0321949821612,37
18.0,7,6149.430944981192,1457.0616234666684,37
18.5,8,4840.503931023917,1790.357129254025,38
19.0,7,6400.975699007259,1356.6787327829359,36
19.5,7,8697.81332992263,3653.5163636983057,36
20.0,7,12815.433718011347,7072.046078407513,37
20.5,7,14444.405832504377,7138.229700470076,35
21.0,7,17780.601261515192,10429.520028271902,36
21.5,8,13254.426000790634,7267.127931933987,37
22.0,9,10523.828072430699,5900.888228973207,38
22.5,9,10765.27084294842,6100.183193977634,37
23.0,10,9141.968508228221,5529.793857876883,39
23.5,10,8870.255263073845,5527.726875214065,37
24.0,9,9913.520797541445,5404.635132717842,38
24.5,9,9686.176658241498,5212.8543492695,37
