startTime(s),SpLength,SpBCEA,SpConvexHull,SpFractalDimension,SpVoronoi,SpRQARecRate,SpRQADet,SpRQALam
0.0,5737.49593702118,131472.1016945309,175087.4301690815,1.5854629387141321,3.018702037292433,11.090225563909774,53.954802259887,44.632768361581924
0.498,5599.913895050968,138758.93694194173,177348.35633845755,1.4820231999380091,1.9451093941608684,10.776942355889725,56.395348837209305,45.93023255813954
0.996,5536.849070106928,141576.6438186949,178871.97954964318,1.4627543162272074,1.671031359726403,10.401002506265664,53.01204819277109,40.96385542168675
1.494,5772.1784825928335,142858.35767083766,190435.57334149117,1.5249957775605285,1.1086681725991414,9.285714285714286,46.15384615384615,34.26573426573427
1.992,5996.76025633923,147551.17429108155,217043.97359481856,1.529794337328158,1.3792283562991843,8.636363636363637,43.233082706766915,30.82706766917293
2.49,6113.382058541162,156788.12692123643,229950.51872760884,1.5050468049549852,1.6410417905798673,7.662337662337662,37.28813559322034,26.271186440677965
2.988,6026.77529866433,166258.35258385175,241476.9829530703,1.4640736944938746,1.3099487199941837,7.205513784461153,36.52173913043478,26.956521739130434
3.486,5976.429581382285,163127.64893469843,248804.37971484766,1.4531807202897127,1.4631400050188492,7.017543859649122,37.5,27.67857142857143
3.984,6243.8134127421035,161237.96015395373,259572.04118084232,1.435868248838639,1.6864822790292813,6.896551724137931,36.84210526315789,27.19298245614035
4.482,5699.886458698134,146338.66063167548,243341.03495339747,1.4183979505073536,2.228391245923709,7.080200501253133,37.16814159292036,27.433628318584073
4.98,5982.881621476846,147897.43134183527,246119.61458842002,1.4583499083876428,1.6999230609097,7.078039927404719,35.8974358974359,20.51282051282051
5.478,6126.68562983395,160020.01131865723,290281.0593671863,1.4361278024260191,1.7802198389775281,6.5940713853599515,32.11009174311927,19.26605504587156
5.976,5985.437576713863,169056.05765985395,297629.00302887755,1.389307712737268,1.6751243832485931,6.352087114337568,33.33333333333333,20.0
6.474,5954.246787295942,153787.5692674773,288745.0644238534,1.3606941316877923,2.525036114015051,6.896551724137931,30.93220338983051,17.796610169491526
6.972,5829.646034334577,140892.07430509318,250721.44587077707,1.3394496137778147,1.4231459352578575,7.138535995160314,30.93220338983051,17.796610169491526
7.47,5982.524339294339,152420.673078345,314899.04274995776,1.2936464981545768,1.5536504850976018,6.838106370543541,32.47863247863248,17.94871794871795
7.968,6073.3963450752535,186700.78629279492,374692.717336012,1.322457107533975,1.2421626700310653,6.078316773816481,25.0,9.615384615384615
8.466,6316.689933605722,201718.3582994797,394943.23215555167,1.3372318539172117,1.530813916067189,5.786090005844535,21.71717171717172,6.0606060606060606
8.964,6593.165359018139,222329.8071441681,394943.23215555167,1.347106778828481,1.0613563481683572,5.593220338983051,18.181818181818183,3.0303030303030303
9.462,6640.974601908947,229812.39852040308,396957.7200142017,1.361303674230368,1.312738122943315,5.423728813559322,17.1875,3.125
9.96,6831.455983491016,247795.7584126128,404445.7546870895,1.323737330780715,1.2239021291583745,5.367231638418079,17.36842105263158,0.0
10.458,7079.3363574310215,258163.3045498173,408772.09759929124,1.3333541896405028,0.9061410189332957,5.129561078794289,17.010309278350512,0.0
10.956,7491.854968157649,274704.53364280064,414196.74736778345,1.3456244072894,1.1640063643958973,4.600740349021682,12.068965517241379,0.0
11.454,7374.942076990941,281975.8638467877,414196.74736778345,1.351652735206158,1.1150223262799357,4.316939890710382,11.39240506329114,0.0
11.952,7431.999064372333,286384.4649303626,414196.74736778345,1.3448895522783955,0.9060527444280466,4.1248016922263355,13.461538461538463,3.8461538461538467
12.45,7208.612853157087,290086.8111910267,414196.74736778345,1.3485421296629998,1.0609563699122821,4.1248016922263355,13.461538461538463,3.8461538461538467
12.948,7047.266429196237,290507.402907778,414196.74736778345,1.3542047413869929,1.3260855089627999,3.9344262295081966,12.5,4.166666666666666
13.446,7175.337361734793,290050.17991442286,414196.74736778345,1.35795487216128,1.0637405835122653,3.8251366120218577,10.714285714285715,4.285714285714286
13.944,7259.2778871497085,286066.8544579658,414196.74736778345,1.3618522960122468,0.8178548439877085,3.7017451084082498,10.714285714285715,4.285714285714286
14.442,7350.597451050354,291937.0260642256,414196.74736778345,1.3736248349088367,0.809135106623414,3.5959809624537282,11.029411764705884,4.411764705882353
14.94,7438.08352031086,293982.7055705219,414196.74736778345,1.3628299728591697,0.8720126457954576,3.8914490527393752,13.815789473684212,3.947368421052632
15.438,7384.380882889992,296168.1876136031,414196.74736778345,1.3575734743302623,0.8838641762905299,3.8914490527393752,13.815789473684212,3.947368421052632
15.936,7245.28731460863,298669.6044047303,414196.74736778345,1.3387348902852991,0.8614688141296925,3.8402457757296466,14.0,4.0
16.434,7517.536191643499,294087.372689226,414196.74736778345,1.3786648158834909,0.8165758114087773,3.7378392217101895,14.383561643835616,4.10958904109589
16.932,7760.499006918725,285696.80244642345,414196.74736778345,1.4008126298104873,0.7867774398462226,3.605769230769231,14.0,4.0
17.43,7788.4784205815995,279936.66047971597,414196.74736778345,1.410974774365568,0.8443925701821093,3.58974358974359,13.636363636363637,3.896103896103896
17.928,7822.363903897276,282976.6528955345,414196.74736778345,1.3739350327156559,0.8033732530973627,3.58974358974359,13.636363636363637,3.896103896103896
18.426,8078.333319886919,283967.1567787604,414196.74736778345,1.3875346647339308,0.7939843329373995,3.4965034965034967,14.0,4.0
18.924,8028.777431865763,281794.11409115535,414196.74736778345,1.3682184579531667,0.8174325739008619,3.482587064676617,13.636363636363637,3.896103896103896
19.422,7957.658889018309,279073.04622426373,414196.74736778345,1.3884784320285275,0.9073517118909614,3.7539574853007687,7.2289156626506035,3.6144578313253017
19.92,7846.133060805935,275893.2756940221,414196.74736778345,1.4231036607574572,0.8005603961821771,3.58974358974359,7.792207792207792,3.896103896103896
